Order ID,Order Date,Customer ID,Region,Category,Product Name,Quantity,Unit Price,Amount
ORD-00001,2025-11-24,C0115,Osaka,Electronics,Keyboard,5,8524,53275
ORD-00002,2025-02-22,C0017,Tokyo,Books,Business Book,10,14325,143250
ORD-00003,2025-02-17,C0014,Sapporo,Office Supplies,Pen Set,9,20226,182034
ORD-00004,2025-04-12,C0143,Tokyo,Books,Programming Book,4,15219,76095
ORD-00005,2025-03-23,C0111,Nagoya,Software,Accounting App,5,5594,34962
ORD-00006,2025-02-22,C0177,Sapporo,Electronics,Webcam,2,12263,24526
ORD-00007,2025-05-16,C0194,Tokyo,Electronics,Webcam,9,4590,41310
ORD-00008,2025-10-10,C0186,Sapporo,Furniture,Bookshelf,10,29514,295140
ORD-00009,2025-04-09,C0149,Tokyo,Electronics,Keyboard,4,25831,129155
ORD-00010,2025-04-30,C0187,Osaka,Electronics,Webcam,5,15357,95981
ORD-00011,2025-07-09,C0037,Sapporo,Furniture,Desk,5,23497,99862
ORD-00012,2025-11-22,C0195,Nagoya,Office Supplies,Pen Set,3,15647,58676
ORD-00013,2025-11-24,C0029,Osaka,Books,Business Book,6,28118,210885
ORD-00014,2025-01-17,C0109,Sapporo,Furniture,Office Chair,5,2668,13340
ORD-00015,2025-06-11,C0235,Osaka,Office Supplies,Copy Paper,7,29489,206423
ORD-00016,2025-05-16,C0135,Sapporo,Office Supplies,Pen Set,9,18161,163449
ORD-00017,2025-08-08,C0071,Sapporo,Books,Programming Book,6,7686,39198
ORD-00018,2025-09-10,C0082,Fukuoka,Electronics,Keyboard,2,5508,11016
ORD-00019,2025-11-02,C0240,Sapporo,Electronics,Webcam,7,20026,175227
ORD-00020,2025-05-09,C0275,Nagoya,Books,Business Book,2,22838,45676
ORD-00021,2025-11-25,C0081,Fukuoka,Furniture,Desk,5,14746,92162
ORD-00022,2025-01-02,C0055,Nagoya,Furniture,Bookshelf,3,17135,51405
ORD-00023,2025-11-24,C0192,Osaka,Books,Design Book,4,5508,27540
ORD-00024,2025-10-04,C0251,Tokyo,Books,Business Book,10,11121,111210
ORD-00025,2025-02-27,C0124,Sapporo,Furniture,Office Chair,4,2398,9592
ORD-00026,2025-02-10,C0273,Osaka,Electronics,Webcam,2,25423,50846
ORD-00027,2025-03-07,C0271,Sapporo,Software,Design Tool,3,9185,34443
